t,S,I,R,beta,delta,contact_rate,infection_prob,I0
66.75,11341.417962535224,0.6072797778565913,9.97475768692348,0.04,0.07142857142857142,2.0,0.02,5
67.0,11341.411895398349,0.6025026329844756,9.985601968670919,0.04,0.07142857142857142,2.0,0.02,5
67.25,11341.405875991612,0.5977630641332569,9.996360944259926,0.04,0.07142857142857142,2.0,0.02,5
67.5,11341.399903939526,0.5930607757882922,10.007035284690877,0.04,0.07142857142857142,2.0,0.02,5
67.75,11341.393978869559,0.588395474758207,10.017625655687096,0.04,0.07142857142857142,2.0,0.02,5
68.0,11341.38810041211,0.5837668701566425,10.02813271773635,0.04,0.07142857142857142,2.0,0.02,5
68.25,11341.382268200487,0.5791746733841465,10.038557126132003,0.04,0.07142857142857142,2.0,0.02,5
68.5,11341.376481870879,0.5746185981102059,10.048899531013863,0.04,0.07142857142857142,2.0,0.02,5
68.75,11341.37074106234,0.5700983602554202,10.059160577408688,0.04,0.07142857142857142,2.0,0.02,5
69.0,11341.365045416758,0.5656136779738152,10.069340905270392,0.04,0.07142857142857142,2.0,0.02,5
69.25,11341.359394578847,0.5611642716352957,10.079441149519925,0.04,0.07142857142857142,2.0,0.02,5
69.5,11341.35378819611,0.5567498638082347,10.08946194008484,0.04,0.07142857142857142,2.0,0.02,5
69.75,11341.348225918822,0.5523701792422004,10.099403901938558,0.04,0.07142857142857142,2.0,0.02,5
70.0,11341.342707400012,0.5480249448508188,10.109267655139313,0.04,0.07142857142857142,2.0,0.02,5
70.25,11341.337232295438,0.5437138896947693,10.119053814868792,0.04,0.07142857142857142,2.0,0.02,5
70.5,11341.331800263566,0.5394367449649159,10.128762991470484,0.04,0.07142857142857142,2.0,0.02,5
70.75,11341.326410965548,0.5351932439655687,10.138395790487715,0.04,0.07142857142857142,2.0,0.02,5
71.0,11341.321064065203,0.5309831220978782,10.147952812701385,0.04,0.07142857142857142,2.0,0.02,5
71.25,11341.315759228992,0.5268061168433597,10.15743465416742,0.04,0.07142857142857142,2.0,0.02,5
71.5,11341.310496126001,0.5226619677475457,10.166841906253907,0.04,0.07142857142857142,2.0,0.02,5
71.75,11341.305274427921,0.5185504164037688,10.17617515567797,0.04,0.07142857142857142,2.0,0.02,5
72.0,11341.300093809023,0.5144712064370698,10.185434984542324,0.04,0.07142857142857142,2.0,0.02,5
72.25,11341.294953946142,0.5104240834882335,10.194621970371557,0.04,0.07142857142857142,2.0,0.02,5
72.5,11341.289854518656,0.506408795197949,10.203736686148133,0.04,0.07142857142857142,2.0,0.02,5
72.75,11341.284795208463,0.5024250911910948,10.212779700348097,0.04,0.07142857142857142,2.0,0.02,5
73.0,11341.279775699964,0.4984727230611468,10.22175157697651,0.04,0.07142857142857142,2.0,0.02,5
73.25,11341.274795680045,0.49455144435470916,10.230652875602603,0.04,0.07142857142857142,2.0,0.02,5
73.5,11341.269854838052,0.49066101055616607,10.23948415139465,0.04,0.07142857142857142,2.0,0.02,5
73.75,11341.264952865777,0.48680117907245457,10.248245955154582,0.04,0.07142857142857142,2.0,0.02,5
74.0,11341.260089457433,0.4829717092179564,10.256938833352304,0.04,0.07142857142857142,2.0,0.02,5
74.25,11341.255264309644,0.4791723621995086,10.265563328159768,0.04,0.07142857142857142,2.0,0.02,5
74.5,11341.250477121417,0.4754029011015319,10.274119977484759,0.04,0.07142857142857142,2.0,0.02,5
74.75,11341.245727594127,0.47166309087127556,10.282609315004429,0.04,0.07142857142857142,2.0,0.02,5
75.0,11341.2410154315,0.4679526983041785,10.291031870198559,0.04,0.07142857142857142,2.0,0.02,5
75.25,11341.23634033959,0.4642714920293448,10.299388168382562,0.04,0.07142857142857142,2.0,0.02,5
75.5,11341.231702026767,0.46061924249513364,10.307678730740228,0.04,0.07142857142857142,2.0,0.02,5
75.75,11341.227100203692,0.4569957219548621,10.315904074356213,0.04,0.07142857142857142,2.0,0.02,5
76.0,11341.222534583303,0.4534007044526204,10.324064712248264,0.04,0.07142857142857142,2.0,0.02,5
76.25,11341.218004880795,0.4498339658091983,10.332161153399204,0.04,0.07142857142857142,2.0,0.02,5
76.5,11341.213510813606,0.4462952836081224,10.340193902788654,0.04,0.07142857142857142,2.0,0.02,5
76.75,11341.209052101396,0.44278443718180216,10.348163461424512,0.04,0.07142857142857142,2.0,0.02,5
77.0,11341.20462846603,0.4393012075977859,10.356070326374187,0.04,0.07142857142857142,2.0,0.02,5
77.25,11341.200239631562,0.4358453776451237,10.363914990795577,0.04,0.07142857142857142,2.0,0.02,5
77.5,11341.195885324214,0.4324167318208379,10.371697943967812,0.04,0.07142857142857142,2.0,0.02,5
77.75,11341.191565272364,0.42901505631649955,10.379419671321756,0.04,0.07142857142857142,2.0,0.02,5
78.0,11341.187279206526,0.4256401390049106,10.387080654470266,0.04,0.07142857142857142,2.0,0.02,5
78.25,11341.183026859337,0.4222917694268902,10.39468137123821,0.04,0.07142857142857142,2.0,0.02,5
78.5,11341.17880796553,0.41896973877816507,10.402222295692262,0.04,0.07142857142857142,2.0,0.02,5
78.75,11341.174622261935,0.41567383989636286,10.409703898170443,0.04,0.07142857142857142,2.0,0.02,5
79.0,11341.170469487442,0.4124038672481073,10.41712664531145,0.04,0.07142857142857142,2.0,0.02,5
79.25,11341.166349383002,0.4091596169162149,10.424491000083737,0.04,0.07142857142857142,2.0,0.02,5
79.5,11341.162261691601,0.4059408865869923,10.431797421814384,0.04,0.07142857142857142,2.0,0.02,5
79.75,11341.158206158247,0.40274747553763307,10.439046366217722,0.04,0.07142857142857142,2.0,0.02,5
80.0,11341.154182529954,0.3995791846237138,10.446238285423751,0.04,0.07142857142857142,2.0,0.02,5
80.25,11341.150190555729,0.396435816266788,10.453373628006318,0.04,0.07142857142857142,2.0,0.02,5
80.5,11341.146229986549,0.3933171744420778,10.460452839011083,0.04,0.07142857142857142,2.0,0.02,5
80.75,11341.142300575353,0.3902230646662621,10.467476359983262,0.04,0.07142857142857142,2.0,0.02,5
81.0,11341.138402077022,0.3871532939853606,10.47444462899516,0.04,0.07142857142857142,2.0,0.02,5
81.25,11341.134534248366,0.384107670962713,10.48135808067347,0.04,0.07142857142857142,2.0,0.02,5
81.5,11341.130696848108,0.38108600566705275,10.488217146226376,0.04,0.07142857142857142,2.0,0.02,5
81.75,11341.12688963687,0.3780881096606743,10.495022253470431,0.04,0.07142857142857142,2.0,0.02,5
82.0,11341.123112377156,0.3751137959876932,10.501773826857228,0.04,0.07142857142857142,2.0,0.02,5
82.25,11341.11936483334,0.3721628791623986,10.508472287499865,0.04,0.07142857142857142,2.0,0.02,5
82.5,11341.115646771645,0.36923517515769727,10.515118053199194,0.04,0.07142857142857142,2.0,0.02,5
